emotion_class,cleaned_text
anger,တ ကယ် ပဲ စိတ် ကုန် ဖို့ ကောင်း တယ်
anger,မင်း ကို လုံး ဝ ခွင့် မ လွှတ် နိုင် ဘူး
love,ကမ် ဘာ ကြီး က ငါ့ အ ပေါ် ရက် စက် လွန်း တယ်
suprise,တ ကယ် ပဲ လား ... ဆု တောင်း တွေ ပြည့် သွား တာ လား
love,ဘယ် သူ့ ကို မှ မ တွေ့ ချင် တော့ ဘူး
natural,စိတ် မ ပူ ပါ နဲ့ တော့
natural,အေး ချမ်း မှု အ ပြည့်
joy,အေး ချမ်း လိုက် တာ
joy,လန်း ဆန်း လှ
fear,မ ကြည့် နဲ့ တော့
anger,စိတ် တို လွန်း လို့ ရူး တော့ မယ်
fear,ဖုန်း သံ က ထိတ် လန့် စ ရာ
natural,သ ဘာ ဝ အ တိုင်း လေး ပဲ
natural,ဒီ နေ့ တော့ လမ်း လျှောက် ထွက် မယ်
love,အား တင်း ထား ရ တာ ပင် ပန်း လှ ပြီ
suprise,ကြို တင် မ သိ ရ ဘဲ ကြုံ လိုက် ရ တဲ့ ပျော် ရွှင် မှု က အ ကောင်း ဆုံး ပဲ
natural,သူ ငယ် ချင်း တွေ နဲ့ အ တိတ် က အ မှတ် တ ရ ဟောင်း တွေ ကို ပြန် ပြော ရင်း ရယ် မော ရ တဲ့ အ ချိန် က စိတ် ကို တ ကယ် ပေါ့ ပါး လန်း ဆန်း စေ တယ်
natural,ဒီ နေ့ ည နေ ခင်း နေ ဝင် တာ လေး က တ ကယ် လှ တယ်
anger,ပျက် စီး ခြင်း အ စ ပဲ
fear,မျက် လုံး မှိတ် ထား လိုက်
natural,စိတ် ထဲ မှာ မျှော် လင့် ချက် အ သစ် တွေ နဲ့ လန်း ဆန်း လို့
natural,စိတ် ထဲ အား ရ ကျေ နပ် တယ်
sadness,လွမ်း ရ တာ မော လှ ပြီ
suprise,အ မ လေး ... ရင် တုန် လိုက် တာ ၊ ဒါ ပေ မဲ့ မိုက် တယ်
natural,စိတ် အေး ချမ်း စွာ နား နေ ခြင်း
suprise,ဟာ ... မိုက် ချက် က တော့ လွန် ရော ပဲ
sadness,ပြန် မ ဆုံ နိုင် တော့ တဲ့ လမ်း ခွဲ
anger,စိတ် တို လွန်း လို့ ရင် ဘတ် ထဲ ပေါက် ကွဲ မ တတ် ပဲ
joy,စိတ် အေး လက် အေး နဲ့ ပျော် တယ်
joy,ရင် ခုန် ရ လို့ ပျော် တယ်
fear,အ ထီး ကျန် ရ မှာ ကို တွေး ပြီး ကြောက် နေ မိ တယ်
anger,အ ချိန် ကုန် တယ်
anger,မင်း ကို ကြည့် ရ တာ နဲ့ တင် စိတ် ညစ် တယ်
sadness,ဘယ် သူ မှ မ ကြား နိုင် တဲ့ ငို သံ
suprise,ဟာ ... အား လုံး က ချက် ချင်း ကြီး ဖြစ် သွား တာ ပဲ
fear,ကြောက် စိတ် က ခန် ဓာ ကိုယ် တစ် ခု လုံး ကို စိုး မိုး ထား လို့ ခြေ လှမ်း တစ် လှမ်း လှမ်း ဖို့ တောင် အင် အား မ ရှိ တော့ သ လို ပဲ
anger,ဘာ မှ လာ မ ရှင်း ပြ နဲ့
anger,တောင်း ပန် လည်း မ ရ တော့ ဘူး
sadness,နှ လုံး သား ရဲ့ အက် ကြောင်း များ
joy,လ စာ ရ တဲ့ နေ့ မှာ ကိုယ် လို ချင် တာ လေး ဝယ် လိုက် ရ တဲ့ အ ရ သာ
fear,ရော ဂါ ရ မှာ ကို ကြောက် တယ်
fear,ငါ့ ရဲ့ ကြိုး စား မှု တွေ အား လုံး က အ ချည်း နှီး ပဲ ဖြစ် သွား မ လား ဆို တဲ့ အ ကြောက် တ ရား က နေ့ တိုင်း နှိပ် စက် တယ်
love,အ တိတ် ကို ပြန် တွေး တိုင်း ရင် နာ ရ တယ်
natural,စိတ် ထဲ နေ လို့ ကောင်း တယ်
natural,နေ ရ တာ သက် တောင့် သက် သာ ရှိ လှ တယ်
joy,ဒီ နေ့ တော့ အ ရာ ရာ ကို ခွင့် လွှတ် နိုင် ပြီး စိတ် ပေါ့ ပါး နေ တယ်
natural,ဘာ ပဲ ဖြစ် ဖြစ် အ ဆင် ပြေ သွား မှာ ပါ
joy,သူ ငယ် ချင်း ဟောင်း တွေ နဲ့ မ တွေ့ တာ ကြာ လို့ ပြန် ဆုံ ပြီး ဟား တိုက် ရယ် မော ရ တဲ့ အ ချိန်
sadness,ဘာ လို့ ငါ့ ကို ထား ခဲ့ တာ လဲ
fear,ကိုယ့် ကိုယ် ကိုယ် ယုံ ကြည် မှု ပျောက် ဆုံး ပြီး လူ တွေ ရှေ့ ထွက် ဖို့ ကြောက် နေ တဲ့ စိတ် ဝေ ဒ နာ က တ ကယ့် အိပ် မက် ဆိုး
joy,စာ အုပ် ဖတ် ရ လို့ ပျော် တယ်
love,ငါ့ ရဲ့ နာ ကျင် မှု ကို ဘယ် သူ မှ မ မြင် ကြ ဘူး
natural,အ ဝတ် လျှော် ပြီး နေ လှန်း ရ တဲ့ အ လုပ် လေး က ကို စိတ် ကြည် တယ်
anger,စိတ် ကုန် စ ရာ ကြီး ဗျာ
natural,အ သက် ရှူ ရ တာ ဝ တယ်
joy,သ တင်း ကောင်း ကြား လို့ ပျော် တယ်
anger,စောက် ဂ ရု မ စိုက် ဘူး
sadness,ငါ့ ရဲ့ ကြိုး စား မှု တွေ က အ ရာ မ ထင် ခဲ့ ဘူး
natural,နေ သာ လို့ ကောင်း တယ်
anger,မင်း ကြောင့် ငါ အ လုပ် ရှုပ် ရ တယ်
joy,အ ပူ ပင် ကင်း လို့ ပျော် တယ်
suprise,ဝိုး ... ဒါ က တော့ မှော် ဆန် တဲ့ ခံ စား ချက် မျိုး ပဲ
natural,စိတ် လန်း ဆန်း သွား တယ်
love,ငါ တ ကယ် မော နေ ပြီ
anger,မင်း က ဘာ သိ လို့ လဲ
fear,အိပ် လို့ မ ရ တော့ ဘူး
joy,ကံ ထူး တဲ့ နေ့
suprise,လုံး ဝ ကို အံ့ ဩ စ ရာ ကောင်း လွန်း တဲ့ ည နေ ခင်း လေး
anger,ငါ့ ကို ဘာ မှတ် နေ လဲ
love,အ ပြုံး တွေ က အ တု အ ယောင် တွေ ပါ
sadness,ဘာ မှ မျှော် လင့် မ ထား သင့် ဘူး
suprise,ရင် ထဲ မှာ ပျော် လုံး ဆို့ ပြီး အံ့ ဩ နေ ရ တယ်
fear,မ လာ ပါ နဲ့ နဲ့
fear,အ သံ ကြီး က လည်း ကြောက် စ ရာ
fear,ကြောက် စ ရာ ကောင်း လိုက် တာ
fear,ကယ် ကြ ပါ ဦး
fear,ဆံ ပင် တွေ ထောင် သွား တယ်
sadness,ငါ က ပဲ အ မြဲ တမ်း အ မှား လုပ် မိ နေ သ လို ပဲ
natural,အ ရာ ရာ က သာ ယာ အ ဆင် ပြေ လို့
fear,အ ပြစ် တင် ခံ ရ မှာ ကို ကြောက် တယ်
love,ဝမ်း နည်း ခြင်း အ နက် ရှိုင်း ဆုံး ထဲ နစ် မြုပ် နေ တုန်း
natural,သ ဘာ ဝ တ ရား က လှ တယ်
natural,အိပ် ရေး ဝ ဝ အိပ် လိုက် ရ လို့ တစ် ကိုယ် လုံး လန်း ဆန်း နေ ပြီ
joy,ပီ တိ ဖြစ် ရ တယ်
joy,ကြည် နူး လွန်း
natural,စိတ် ထဲ ပွင့် လင်း သွား တယ်
anger,စိတ် ဓာတ် ကောက် ကျစ် တာ
anger,အ ဆိုး ဆုံး ပဲ
fear,အ မှောင် ထဲ က ခြေ သံ တွေ ကို ကြား နေ ရ သ လို ပဲ
natural,နိုး ထ လာ ရ တာ လန်း ဆန်း လှ တယ်
suprise,မ ယုံ နိုင် လောက် အောင် ထူး ခြား တဲ့ ခံ စား ချက် ကြီး
anger,အ လုပ် မ ရှုပ် စမ်း နဲ့
fear,လန့် စ ရာ ကြီး
natural,ဒီ လို တိတ် ဆိတ် အေး ချမ်း တဲ့ အ ချိန် လေး ကို သ ဘော ကျ တယ်
joy,စိတ် ကူး ယဉ် အ တိုင်း ပဲ
joy,အ ပြုံး မ ပျက် ဘူး
fear,ချစ် ရ တဲ့ သူ တွေ ငါ့ အ နား က နေ ထာ ဝ ရ ထွက် ခွာ သွား မှာ ကို တွေး မိ တဲ့ စက် ကန့် တိုင်း က င ရဲ ကျ နေ သ လို ပါ ပဲ
anger,တုံး အ လိုက် တာ
suprise,အံ့ ဩ စ ရာ တွေ ပြည့် နှက် နေ တဲ့ အ ခိုက် အ တန့် လေး
